year,N
92,1
92,1
92,2
92,1
92,2
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,2
92,2
92,2
92,1
92,2
92,2
92,5
92,2
92,4
92,4
92,3
92,3
92,3
92,8
92,21
92,7
92,13
92,10
92,12
92,15
92,11
92,16
92,6
92,7
92,3
92,3
92,3
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,2
92,1
92,1
92,4
92,1
92,7
92,3
92,2
92,7
92,10
92,12
92,19
92,22
92,12
92,16
92,6
92,24
92,13
92,16
92,19
92,33
92,25
92,32
92,13
92,24
92,9
92,11
92,3
92,2
92,2
92,1
92,1
92,1
92,2
92,3
92,3
92,4
92,8
92,5
92,6
92,7
92,4
92,5
92,4
92,2
92,2
92,1
92,1
92,1
92,2
92,4
92,2
92,4
92,1
92,4
92,2
92,4
92,4
92,5
92,9
92,12
92,4
92,14
92,8
92,13
92,7
92,9
92,3
92,6
92,3
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,2
92,2
92,1
92,2
92,5
92,5
92,5
92,11
92,17
92,6
92,7
92,11
92,9
92,5
92,4
92,1
92,2
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,6
92,10
92,2
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,3
92,4
92,2
92,2
92,1
92,2
92,2
92,4
92,3
92,1
92,4
92,1
92,1
92,3
92,1
92,1
92,2
92,1
92,2
92,3
92,4
92,2
92,1
92,8
92,10
92,7
92,2
92,1
92,3
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,2
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,2
92,1
92,3
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,6
92,1
92,1
92,1
92,2
92,3
92,1
92,2
92,1
92,1
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,2
92,1
92,6
92,1
92,1
92,4
92,2
92,6
92,2
92,1
92,1
92,4
92,4
92,5
92,5
92,7
92,10
92,17
92,20
92,26
92,12
92,24
92,20
92,20
92,11
92,11
92,8
92,2
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,1
92,2
92,1
92,3
92,2
92,5
92,4
